llgname,textdate,subscribers
Tebi Rural,Mar02,186
Tebi Rural,Mar03,173
Tebi Rural,Mar04,367
Tebi Rural,Mar05,371
Tebi Rural,Mar06,455
Tebi Rural,Mar07,343
Tebi Rural,Mar08,366
Tebi Rural,Mar09,365
Tebi Rural,Mar10,346
Tebi Rural,Mar11,115
Tebi Rural,Mar12,394
Tebi Rural,Mar13,376
Tebi Rural,Mar14,385
Tebi Rural,Mar15,355
Tebi Rural,Mar16,389
Tebi Rural,Mar17,343
Tebi Rural,Mar18,233
Tebi Rural,Mar19,287
Tebi Rural,Mar20,348
Tebi Rural,Mar21,341
Tebi Rural,Mar22,365
Tebi Rural,Mar23,306
Tebi Rural,Mar24,352
Tebi Rural,Mar25,287
Tebi Rural,Mar26,159
Tebi Rural,Mar27,126
Gahuku Rural,20to25,0
Gahuku Rural,Feb26,166
Gahuku Rural,Feb27,162
Gahuku Rural,Feb28,163
Gahuku Rural,Mar01,157
Gahuku Rural,Mar02,166
Gahuku Rural,Mar03,140
Gahuku Rural,Mar04,142
Gahuku Rural,Mar05,147
Gahuku Rural,Mar06,161
Gahuku Rural,Mar07,165
Gahuku Rural,Mar08,160
Gahuku Rural,Mar09,156
Gahuku Rural,Mar10,144
Gahuku Rural,Mar11,117
Gahuku Rural,Mar12,135
Gahuku Rural,Mar13,134
Gahuku Rural,Mar14,140
Gahuku Rural,Mar15,169
Gahuku Rural,Mar16,132
Gahuku Rural,Mar17,128
Gahuku Rural,Mar18,144
Gahuku Rural,Mar19,156
Gahuku Rural,Mar20,159
Gahuku Rural,Mar21,147
Gahuku Rural,Mar22,118
Gahuku Rural,Mar23,146
Gahuku Rural,Mar24,131
Gahuku Rural,Mar25,120
Gahuku Rural,Mar26,67
Gahuku Rural,Mar27,48
Ialibu Urban & Basin Rural,20to25,0
Ialibu Urban & Basin Rural,Feb26,956
Ialibu Urban & Basin Rural,Feb27,524
Ialibu Urban & Basin Rural,Feb28,736
Ialibu Urban & Basin Rural,Mar01,688
Ialibu Urban & Basin Rural,Mar02,658
Ialibu Urban & Basin Rural,Mar03,513
Ialibu Urban & Basin Rural,Mar04,415
Ialibu Urban & Basin Rural,Mar05,559
Ialibu Urban & Basin Rural,Mar06,476
Ialibu Urban & Basin Rural,Mar07,562
Ialibu Urban & Basin Rural,Mar08,553
Ialibu Urban & Basin Rural,Mar09,812
Ialibu Urban & Basin Rural,Mar10,562
Ialibu Urban & Basin Rural,Mar11,490
Ialibu Urban & Basin Rural,Mar12,578
Ialibu Urban & Basin Rural,Mar13,600
Ialibu Urban & Basin Rural,Mar14,661
Ialibu Urban & Basin Rural,Mar15,687
Ialibu Urban & Basin Rural,Mar16,688
Ialibu Urban & Basin Rural,Mar17,645
Ialibu Urban & Basin Rural,Mar18,504
Ialibu Urban & Basin Rural,Mar19,723
Ialibu Urban & Basin Rural,Mar20,608
Ialibu Urban & Basin Rural,Mar21,606
Ialibu Urban & Basin Rural,Mar22,577
Ialibu Urban & Basin Rural,Mar23,670
Ialibu Urban & Basin Rural,Mar24,684
Ialibu Urban & Basin Rural,Mar25,535
Ialibu Urban & Basin Rural,Mar26,264
Ialibu Urban & Basin Rural,Mar27,218
Lae Urban & Ahi Rural,20to25,0
Lae Urban & Ahi Rural,Feb26,379
Lae Urban & Ahi Rural,Feb27,380
Lae Urban & Ahi Rural,Feb28,379
Lae Urban & Ahi Rural,Mar01,406
Lae Urban & Ahi Rural,Mar02,414
Lae Urban & Ahi Rural,Mar03,410
Lae Urban & Ahi Rural,Mar04,373
Lae Urban & Ahi Rural,Mar05,354
Lae Urban & Ahi Rural,Mar06,383
Lae Urban & Ahi Rural,Mar07,411
Lae Urban & Ahi Rural,Mar08,442
Lae Urban & Ahi Rural,Mar09,454
Lae Urban & Ahi Rural,Mar10,480
Lae Urban & Ahi Rural,Mar11,425
Lae Urban & Ahi Rural,Mar12,416
Lae Urban & Ahi Rural,Mar13,406
Lae Urban & Ahi Rural,Mar14,401
Lae Urban & Ahi Rural,Mar15,393
Lae Urban & Ahi Rural,Mar16,415
Lae Urban & Ahi Rural,Mar17,399
Lae Urban & Ahi Rural,Mar18,362
Lae Urban & Ahi Rural,Mar19,375
Lae Urban & Ahi Rural,Mar20,383
Lae Urban & Ahi Rural,Mar21,385
Lae Urban & Ahi Rural,Mar22,395
Lae Urban & Ahi Rural,Mar23,412
Lae Urban & Ahi Rural,Mar24,397
Lae Urban & Ahi Rural,Mar25,368
Lae Urban & Ahi Rural,Mar26,188
Lae Urban & Ahi Rural,Mar27,159
Mt Hagen Urban & Rural,20to25,0
Mt Hagen Urban & Rural,Feb26,582
Mt Hagen Urban & Rural,Feb27,652
Mt Hagen Urban & Rural,Feb28,669
Mt Hagen Urban & Rural,Mar01,720
Mt Hagen Urban & Rural,Mar02,799
Mt Hagen Urban & Rural,Mar03,609
Mt Hagen Urban & Rural,Mar04,494
Mt Hagen Urban & Rural,Mar05,642
Mt Hagen Urban & Rural,Mar06,692
Mt Hagen Urban & Rural,Mar07,706
Mt Hagen Urban & Rural,Mar08,722
Mt Hagen Urban & Rural,Mar09,748
Mt Hagen Urban & Rural,Mar10,657
Mt Hagen Urban & Rural,Mar11,557
Mt Hagen Urban & Rural,Mar12,697
Mt Hagen Urban & Rural,Mar13,666
Mt Hagen Urban & Rural,Mar14,718
Mt Hagen Urban & Rural,Mar15,729
Mt Hagen Urban & Rural,Mar16,809
Mt Hagen Urban & Rural,Mar17,702
Mt Hagen Urban & Rural,Mar18,585
Mt Hagen Urban & Rural,Mar19,699
Mt Hagen Urban & Rural,Mar20,696
Mt Hagen Urban & Rural,Mar21,661
Mt Hagen Urban & Rural,Mar22,707
Mt Hagen Urban & Rural,Mar23,727
Mt Hagen Urban & Rural,Mar24,672
Mt Hagen Urban & Rural,Mar25,551
Mt Hagen Urban & Rural,Mar26,392
Mt Hagen Urban & Rural,Mar27,314
National Capital District,20to25,0
National Capital District,Feb26,859
National Capital District,Feb27,900
National Capital District,Feb28,911
National Capital District,Mar01,911
National Capital District,Mar02,915
National Capital District,Mar03,870
National Capital District,Mar04,847
National Capital District,Mar05,872
National Capital District,Mar06,838
National Capital District,Mar07,874
National Capital District,Mar08,852
National Capital District,Mar09,902
National Capital District,Mar10,906
National Capital District,Mar11,873
National Capital District,Mar12,860
National Capital District,Mar13,851
National Capital District,Mar14,904
National Capital District,Mar15,955
National Capital District,Mar16,953
National Capital District,Mar17,932
National Capital District,Mar18,884
National Capital District,Mar19,918
National Capital District,Mar20,957
National Capital District,Mar21,949
National Capital District,Mar22,964
National Capital District,Mar23,977
National Capital District,Mar24,969
National Capital District,Mar25,918
National Capital District,Mar26,593
National Capital District,Mar27,506
Others,20to25,0
Others,Feb26,1751
Others,Feb27,2107
Others,Feb28,2296
Others,Mar01,2364
Others,Mar02,2610
Others,Mar03,2395
Others,Mar04,2220
Others,Mar05,2082
Others,Mar06,2341
Others,Mar07,2356
Others,Mar08,2234
Others,Mar09,2194
Others,Mar10,2163
Others,Mar11,2273
Others,Mar12,2098
Others,Mar13,2196
Others,Mar14,2040
Others,Mar15,1933
Others,Mar16,2133
Others,Mar17,2134
Others,Mar18,1805
Others,Mar19,1848
Others,Mar20,1986
Others,Mar21,1966
Others,Mar22,1773
Others,Mar23,2119
Others,Mar24,2079
Others,Mar25,1842
Others,Mar26,797
Others,Mar27,690
